INFO:__main__:Loading input file: data/processed/texas_hvac_for_email_scraping.csv
INFO:__main__:Starting parallel processing with 30 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/texas_hvac_for_email_scraping.csv
Output file:       data/processed/texas_hvac_with_emails.csv
Total URLs:        321
Mode:              custom
Workers:           30

Configuration:
  Check static:    False
  Extract emails:  True
  Extract phones:  False
  Scrape mode:     smart
  AI analysis:     False

Estimated time:    2.2 min (133.8 sec)
================================================================================

[206/321] 64.2% | ETA: 1.2min | Speed: 1.6 items/sec | https://www.dailyserviceco.com/?utm_source=google& - success
[207/321] 64.5% | ETA: 1.2min | Speed: 1.6 items/sec | https://www.hallairconditioning.com/               - http_error_202
[208/321] 64.8% | ETA: 1.2min | Speed: 1.6 items/sec | https://www.get-nwha.com/                          - success
[209/321] 65.1% | ETA: 1.2min | Speed: 1.6 items/sec | http://www.brazosac.com/                           - success
[210/321] 65.4% | ETA: 1.2min | Speed: 1.6 items/sec | https://thecoolestair.com/?utm_source=google&utm_m - success
[211/321] 65.7% | ETA: 1.2min | Speed: 1.6 items/sec | https://reedservice.com/                           - connection_error
[212/321] 66.0% | ETA: 1.2min | Speed: 1.6 items/sec | https://www.aireservdallas.com/ac-repair-flower-mo - success
[213/321] 66.4% | ETA: 1.2min | Speed: 1.6 items/sec | http://pandemechanical.com/                        - success
[214/321] 66.7% | ETA: 1.1min | Speed: 1.6 items/sec | http://www.sumrallac.com/                          - success
[215/321] 67.0% | ETA: 1.1min | Speed: 1.6 items/sec | http://mybobjays.com/                              - success
[216/321] 67.3% | ETA: 1.1min | Speed: 1.6 items/sec | http://www.legitheatingandair.com/                 - success
[217/321] 67.6% | ETA: 1.1min | Speed: 1.6 items/sec | https://www.lifetimezair.com/?utm_source=google&ut - success
[218/321] 67.9% | ETA: 1.1min | Speed: 1.6 items/sec | http://herreraheatingandcooling.com/               - success
[219/321] 68.2% | ETA: 1.1min | Speed: 1.6 items/sec | https://airtexasdfw.com/                           - success
[220/321] 68.5% | ETA: 1.1min | Speed: 1.5 items/sec | https://arcticaircompany.com/                      - success
[221/321] 68.8% | ETA: 1.1min | Speed: 1.6 items/sec | https://texascomfortair.com/                       - http_error_202
[222/321] 69.2% | ETA: 1.1min | Speed: 1.6 items/sec | https://tytanheatingandcooling.com/                - success
