INFO:__main__:Loading input file: data/processed/test_input_281_sites.csv
INFO:__main__:Starting parallel processing with 25 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/test_input_281_sites.csv
Output file:       data/processed/test_results_quick.csv
Total URLs:        281
Mode:              quick
Workers:           25

Configuration:
  Check static:    True
  Extract emails:  False
  Extract phones:  False
  Scrape mode:     single
  AI analysis:     False

Estimated time:    0.2 min (14.1 sec)
================================================================================

[67/281] 23.8% | ETA: 1.1min | Speed: 3.3 items/sec | http://www.courtesyaconline.com/?utm_source=GMBlis - success
[68/281] 24.2% | ETA: 1.1min | Speed: 3.3 items/sec | https://air-control-dallas.ueniweb.com/?utm_campai - success
[69/281] 24.6% | ETA: 1.1min | Speed: 3.3 items/sec | http://www.dalcoac.com/                            - success
[70/281] 24.9% | ETA: 1.1min | Speed: 3.1 items/sec | http://geocontractorsllc.com/                      - dynamic
[71/281] 25.3% | ETA: 1.1min | Speed: 3.1 items/sec | https://www.mccannservices.com/                    - success
[72/281] 25.6% | ETA: 1.1min | Speed: 3.1 items/sec | https://www.bonairservice.com/                     - success
[73/281] 26.0% | ETA: 1.1min | Speed: 3.2 items/sec | https://www.airpatrolac.com/?utm_source=google&utm - success
[74/281] 26.3% | ETA: 1.1min | Speed: 3.1 items/sec | https://www.nicksplumbing.com/?utm_source=organic& - dynamic
[75/281] 26.7% | ETA: 1.1min | Speed: 3.1 items/sec | https://air-32.com/                                - success
[76/281] 27.0% | ETA: 1.2min | Speed: 2.9 items/sec | https://aireserv.com/central-west-houston/?cid=LST - http_error_403
[77/281] 27.4% | ETA: 1.3min | Speed: 2.6 items/sec | http://absolutecomfortmechanical.com/              - success
[78/281] 27.8% | ETA: 1.3min | Speed: 2.6 items/sec | http://www.spacecityhvac.com/                      - success
[79/281] 28.1% | ETA: 1.3min | Speed: 2.7 items/sec | https://5starhvaccontractors.com/                  - success
[80/281] 28.5% | ETA: 1.3min | Speed: 2.7 items/sec | https://dial1plumbing.com/                         - success
[81/281] 28.8% | ETA: 1.2min | Speed: 2.7 items/sec | https://www.richmondsair.com/?utm_source=gmb&utm_m - success
[82/281] 29.2% | ETA: 1.2min | Speed: 2.7 items/sec | https://www.callservicenow.com//?utm_source=GMB&ut - success
[83/281] 29.5% | ETA: 1.2min | Speed: 2.7 items/sec | https://www.frymire.com/?utm_source=google&utm_med - success
[84/281] 29.9% | ETA: 1.2min | Speed: 2.7 items/sec | http://www.amscoldpro.com/                         - dynamic
[85/281] 30.2% | ETA: 1.2min | Speed: 2.7 items/sec | http://www.eastinair.com/?utm_campaign=gmb         - success
[86/281] 30.6% | ETA: 1.2min | Speed: 2.7 items/sec | https://callcoolinaryarts.com/                     - success
[87/281] 31.0% | ETA: 1.2min | Speed: 2.8 items/sec | https://www.dallashvaccompany.org/                 - success
[88/281] 31.3% | ETA: 1.2min | Speed: 2.8 items/sec | https://ehshvac.com/?utm_source=google&utm_medium= - success
[89/281] 31.7% | ETA: 1.1min | Speed: 2.8 items/sec | https://www.aliefheatingandairconditioning.com/?ut - success
[90/281] 32.0% | ETA: 1.1min | Speed: 2.8 items/sec | https://mebrownac.com/                             - success
[91/281] 32.4% | ETA: 1.1min | Speed: 2.9 items/sec | https://aircheckmechanicalservices.com/            - success
[92/281] 32.7% | ETA: 1.1min | Speed: 2.8 items/sec | http://www.temperatureprodallas.com/?utm_source=go - dynamic
[93/281] 33.1% | ETA: 1.1min | Speed: 2.8 items/sec | https://www.blitzproservices.com/service-area/cypr - success
[94/281] 33.5% | ETA: 1.1min | Speed: 2.8 items/sec | https://proactiveairconditioning.com/              - success
[95/281] 33.8% | ETA: 1.1min | Speed: 2.8 items/sec | https://www.acprostx.com/                          - success
[96/281] 34.2% | ETA: 1.1min | Speed: 2.8 items/sec | https://www.uptownac.com/                          - success
[97/281] 34.5% | ETA: 1.1min | Speed: 2.8 items/sec | https://www.aircurrenthouston.com/                 - dynamic
[98/281] 34.9% | ETA: 1.1min | Speed: 2.8 items/sec | https://www.berkeys.com/?utm_campaign=gmb_be_home_ - success
[99/281] 35.2% | ETA: 1.1min | Speed: 2.8 items/sec | https://centralcityair.com/                        - success
[100/281] 35.6% | ETA: 1.1min | Speed: 2.8 items/sec | https://onecallhouston.com/?utm_source=google-gbp& - success
[101/281] 35.9% | ETA: 1.1min | Speed: 2.8 items/sec | https://salaair.com/                               - success
[102/281] 36.3% | ETA: 1.0min | Speed: 2.8 items/sec | https://sugarlandacandheating.com/                 - dynamic
[103/281] 36.7% | ETA: 1.0min | Speed: 2.9 items/sec | https://cool-master.us/                            - success
[104/281] 37.0% | ETA: 1.0min | Speed: 2.9 items/sec | https://www.churchservices.com/?utm_source=google- - dynamic
[105/281] 37.4% | ETA: 1.0min | Speed: 2.9 items/sec | https://mbkiser.com/                               - success
[106/281] 37.7% | ETA: 1.0min | Speed: 2.9 items/sec | http://www.heightsacandheating.com/                - dynamic
[107/281] 38.1% | ETA: 60s | Speed: 2.9 items/sec | https://www.fersahvac.com/                         - success
[108/281] 38.4% | ETA: 59s | Speed: 2.9 items/sec | https://calllukes.com/?utm_source=google&utm_mediu - success
[109/281] 38.8% | ETA: 59s | Speed: 2.9 items/sec | https://www.lexairconditioning.com/                - success
[110/281] 39.1% | ETA: 58s | Speed: 3.0 items/sec | https://grove-mechanical.com/                      - success
[111/281] 39.5% | ETA: 57s | Speed: 3.0 items/sec | http://www.mytexashomeservices.com/                - dynamic
[112/281] 39.9% | ETA: 56s | Speed: 3.0 items/sec | http://strikeforceac.com/?utm_source=GMB&utm_mediu - success
[113/281] 40.2% | ETA: 56s | Speed: 3.0 items/sec | https://villageplumbing.com/?utm_source=google&utm - http_error_403
[114/281] 40.6% | ETA: 55s | Speed: 3.0 items/sec | http://www.johnmooreservices.com/                  - http_error_403
[115/281] 40.9% | ETA: 55s | Speed: 3.0 items/sec | https://www.hooperplumbing.com/                    - success
[116/281] 41.3% | ETA: 54s | Speed: 3.1 items/sec | https://tltechs.com/                               - dynamic
[117/281] 41.6% | ETA: 53s | Speed: 3.1 items/sec | http://www.gilbertsac.com/?utm_campaign=gmb        - dynamic
[118/281] 42.0% | ETA: 53s | Speed: 3.1 items/sec | https://callmilestone.com/dallas/plumbing/         - success
[119/281] 42.3% | ETA: 53s | Speed: 3.1 items/sec | http://www.bayoucityac.com/                        - dynamic
[120/281] 42.7% | ETA: 52s | Speed: 3.1 items/sec | https://pmhvac.com/?utm_source=google&utm_medium=o - success
